#,Name,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,PC1,PC2,Cluster
1,Harry Souttar,0.5,0.0,0.0,1.0,0.5,11.0,1,0,2,76.47,13,1,-0.013934509758014142,-3.5213886313252245,0
2,Taylor Harwood-Bellis,0.84,0.0,0.28,0.7,0.88,7.47,10,6,30,57.84,155,30,3.2897139151175505,-0.9136217927847984,0
3,Luke Ayling,1.96,0.0,0.24,0.59,0.93,2.41,18,6,27,47.59,69,25,2.2413903513594247,1.898639746905206,2
4,Jannik Vestergaard,1.45,0.0,0.13,0.55,0.87,8.06,9,2,17,65.75,119,18,1.8368591367054425,-0.8563148275647474,0
5,Robert Atkinson,1.4,0.04,0.28,0.52,1.2,5.12,7,0,13,74.6,94,5,0.6895129501879647,-0.8651805934658227,0
6,Dael Fry,0.72,0.0,0.28,1.03,0.72,6.0,3,1,33,67.72,107,11,0.7372830238761617,-2.1593299054465027,0
7,Caleb Taylor,1.07,0.04,0.32,1.07,1.82,6.14,13,1,30,72.13,132,16,2.7918269611330007,-1.3685689900643125,0
8,Dara O'Shea,0.54,0.04,0.37,1.0,0.85,6.35,11,5,46,70.08,171,19,3.092557562707857,-1.7214138273248398,0
9,Bobby Thomas,1.09,0.0,0.27,0.88,0.79,5.67,16,2,29,62.77,118,25,1.9468981219817083,-0.43668550003631856,0
10,Jake Cooper,0.94,0.0,0.4,0.74,0.85,7.4,20,2,35,73.61,279,54,4.438500592917958,-0.4826824530524287,0
11,Jacob Greaves,1.29,0.0,0.33,0.71,0.96,6.17,8,2,17,66.1,117,23,1.7799200565615403,-0.762715874584105,0
12,Lloyd Jones,0.93,0.02,0.24,1.28,1.35,9.61,8,2,59,67.15,276,54,5.12373134291537,-2.1675686976269546,0
13,Ben Wilmot,1.03,0.03,0.32,0.59,0.47,4.76,8,2,20,61.88,99,13,0.547850062951642,-0.6881885099351781,0
14,Cédric Kipré,1.0,0.0,0.38,0.47,0.88,5.31,9,3,15,59.38,76,21,1.1279324567385516,-0.31057376027054595,0
15,Sam McCallum,1.3,0.0,0.05,0.45,1.4,2.65,7,0,9,62.5,50,6,-0.20095047225473245,-0.07561135537275514,1
16,Stephen Mfuni,2.5,0.0,0.13,0.38,0.75,6.0,0,2,3,95.45,21,3,0.5559191721580959,-0.4013761708991299,0
17,Rob Dickie,0.97,0.03,0.24,0.91,1.24,7.91,12,2,30,68.48,126,15,2.4702946305538083,-1.5771833308191756,0
18,Christoph Klarer,0.98,0.0,0.23,0.58,1.28,7.28,13,0,25,69.28,230,40,3.0402130308780526,-0.8826368621003932,0
19,Liam Kitching,1.03,0.05,0.29,0.58,0.97,6.11,8,1,22,55.6,144,41,1.9897014693269353,-0.4581319826187135,0
20,Matt Targett,1.22,0.0,0.16,0.18,1.16,1.76,23,1,8,44.05,37,25,0.26531235950343923,2.0480452783348024,2
21,Nathaniel Phillips,1.38,0.03,0.35,0.68,1.28,7.08,18,0,27,65.12,168,27,2.6267676875590635,-0.3593203679853264,0
22,Daniel Imray,1.5,0.0,0.44,0.19,1.13,1.88,7,1,3,43.48,10,11,-0.8611686718924124,1.0500286756783583,1
23,Tristan Crama,1.73,0.02,0.4,0.67,1.44,5.92,25,3,32,64.2,156,58,4.521623761675923,1.4321605955651557,2
24,Kai Wagner,2.0,0.0,0.25,0.19,0.63,3.0,11,0,3,52.0,26,10,-0.8522612603374059,1.2854676076047349,1
25,Leif Davis,0.84,0.03,0.3,0.14,0.86,2.24,20,1,5,58.65,61,23,0.20300225528397023,1.1704461625202813,2
26,Jack Robinson,0.72,0.0,0.11,1.0,0.61,5.61,4,0,18,66.36,73,8,-0.044365695159932494,-1.987010805761689,0
27,Charlie Hughes,1.24,0.02,0.32,1.44,1.22,7.15,10,2,59,66.67,104,42,3.2902158726309856,-1.2592097428510172,0
28,Jeremy Ngakia,3.48,0.06,0.09,0.15,1.12,2.88,28,2,5,42.19,27,28,1.8178417499912285,4.230234727338722,2
29,Ryan Leonard,2.04,0.0,0.28,0.2,0.72,2.68,13,0,5,51.22,42,27,-0.14706511600474229,1.8103331470905313,2
30,Cameron Burgess,0.93,0.0,0.26,1.09,1.26,8.35,8,4,50,66.31,185,14,3.3955935219170077,-2.1798430102582937,0
31,Japhet Tanganga,1.19,0.0,0.24,0.98,1.62,7.0,9,3,41,69.89,195,51,4.405749039523567,-0.8865461471800266,0
32,Jack Stephens,0.91,0.0,0.28,0.91,1.03,4.28,12,1,29,46.75,36,11,0.2320403988975494,-0.4986317543556332,0
33,Derry Murkin,2.0,0.0,0.17,0.25,1.17,4.83,4,0,3,55.56,20,7,-0.3942192605738961,0.3306349983344819,1
34,Eiran Cashin,2.45,0.03,0.1,0.45,1.31,5.52,22,1,13,64.74,123,23,2.5889776224877936,1.439134552873559,2
35,Josh Edwards,1.71,0.0,0.14,0.14,0.29,3.71,5,0,1,56.41,22,7,-1.477242796545838,0.4753200794324604,1
36,Luke Woolfenden,0.76,0.0,0.29,0.76,0.65,4.47,3,0,13,69.64,39,8,-0.6197468194710309,-1.4905189084568287,1
37,Conor Coady,0.94,0.0,0.24,1.18,0.88,3.0,2,0,20,46.88,15,4,-0.8929558639756906,-1.276735220645427,1
38,Adilson Malanda,0.83,0.04,0.25,0.92,0.96,4.46,4,1,22,61.21,71,21,0.7148292842145899,-1.2177370479953669,0
39,Hayden Carter,0.7,0.1,0.2,0.5,0.9,7.3,2,0,5,58.82,20,9,-0.2255789170339761,-1.6943741752512178,0
40,Steve Cook,0.57,0.03,0.27,0.73,0.77,6.3,4,2,22,65.65,86,9,0.6854474582966413,-1.8802944590054465,0
41,Lewis Miller,1.93,0.0,0.21,0.76,1.41,3.52,8,1,22,59.66,71,25,1.374403336801131,0.43786046685317176,0
42,Krystian Bielik,1.24,0.0,0.06,0.41,1.24,3.29,7,0,7,66.67,50,16,0.03196770743404507,-0.057407933856513375,0
43,Ciaron Brown,0.81,0.0,0.19,0.95,1.49,8.7,7,0,35,57.03,146,18,2.0303111429327148,-2.1348351131983985,0
44,Harry Darling,1.0,0.0,0.11,0.89,0.86,5.0,5,4,31,56.88,91,15,1.4362857981279082,-1.0370712754674656,0
45,Matt Clarke,1.76,0.02,0.27,1.04,1.49,9.31,21,3,47,58.33,168,42,4.81884418273577,-0.12473737812866975,0
46,John Egan,1.29,0.02,0.24,1.0,0.89,6.18,17,1,45,60.25,144,22,2.1859026961208015,-0.5865425389234646,0
47,Jack Currie,2.63,0.0,0.2,0.27,1.5,3.27,30,2,8,58.54,48,28,2.3098594949070756,3.1663392814680917,2
48,Bosun Lawal,1.63,0.0,0.19,0.48,0.52,3.19,11,0,13,65.26,62,21,-0.05911014349029665,0.5652837767393223,1
49,Sean McLoughlin,1.32,0.0,0.25,0.91,1.8,7.84,26,1,40,61.44,196,25,3.9901220097429086,-0.3185773738726147,0
50,Akin Famewo,1.4,0.0,0.13,0.27,0.53,2.2,1,0,4,65.52,19,6,-1.5862236252236435,-0.030153891149301056,1
51,Terry Devlin,2.05,0.0,0.11,0.24,1.42,3.32,24,0,9,63.64,70,23,1.3273113128961989,1.997737312678515,2
52,Ben Cabango,1.64,0.02,0.27,0.69,1.07,7.0,24,5,31,58.43,156,25,3.880956044417412,0.5662172099502392,0
53,Tyler Bindon,1.32,0.0,0.12,0.72,1.4,6.96,8,1,18,63.04,87,21,1.7077883591375187,-0.8710536043798549,0
54,Ruairi McConville,1.12,0.0,0.28,0.76,0.96,5.88,8,2,19,65.81,77,11,1.0759082747577102,-1.0411340816640067,0
55,Alfie Jones,1.59,0.0,0.23,0.82,0.86,4.18,9,0,18,51.22,42,17,0.1168178871512708,0.00961885027192074,0
56,Jimmy Dunne,1.23,0.0,0.23,0.69,0.85,6.77,17,0,27,62.98,182,34,2.2954080837780517,-0.3445426597291376,0
57,Elias Jelert,0.75,0.0,0.13,0.38,0.5,0.75,3,1,3,28.57,2,2,-2.3896318352281893,0.22733513562084476,1
58,Zak Swanson,1.91,0.0,0.09,0.18,1.12,2.39,17,0,6,60.27,44,20,0.2113253757932009,1.7461047737637785,2
59,Conor Shaughnessy,0.68,0.0,0.32,0.74,0.84,5.53,1,1,14,77.91,67,6,0.143594200831368,-2.051581580733186,0
60,James Bree,1.32,0.0,0.27,0.22,0.61,2.05,14,0,9,54.55,60,41,0.016586691648819263,1.5541498631155615,2
61,Brandon Powell,1.0,0.0,0.0,1.0,0.0,0.0,2,0,1,0.0,0,3,-3.0665747236144885,0.2316644126941382,1
62,Milan van Ewijk,2.11,0.05,0.3,0.27,1.2,2.55,31,2,12,46.38,32,38,1.8964059037116887,3.3225348371091528,2
63,Phil Neumann,1.16,0.06,0.25,0.84,0.78,6.72,6,2,27,60.84,87,33,1.8148424790382713,-0.9125388039441681,0
64,Joel Latibeaudiere,0.6,0.0,0.4,0.93,0.73,5.27,3,0,14,46.34,38,9,-0.6543516332581907,-1.618166205733492,1
