#,Name,Team,Position,Age,Market Value (€m),Contract Expiry,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,Minutes played,Appearances,Started,Dispossessed,Accurate passes,Accurate passes %,Long balls (accurate),Accurate long balls %,Key passes,Tackles_p90,Interceptions_p90,Clearances_p90,Blocked shots_p90,Errors leading to goal_p90,Errors leading to shot_p90,Dribbled past_p90,Aerial duels won_p90,Fouls_p90,Dispossessed_p90,Accurate passes_p90,Long balls (accurate)_p90,Key passes_p90,Clean sheets_p90,PC1,PC2,Cluster
2,Taylor Harwood-Bellis,Southampton,Centre-Back,23,20.0,2028,0.84,0.0,0.28,0.7,0.88,7.47,10,6,30,57.84,155,30,3900,43,43,8,2617,85.58,212,48.96,24,0.019384615384615382,0.020307692307692308,0.17238461538461536,0.01615384615384615,0.0,0.13846153846153844,0.23076923076923075,3.5769230769230766,0.6923076923076923,0.1846153846153846,60.39230769230769,4.892307692307692,0.5538461538461538,0.006461538461538462,3.061599158864774,-3.0350925184521746,2
3,Luke Ayling,Middlesbrough,Right-Back,33,1.0,2025,1.96,0.0,0.24,0.59,0.93,2.41,18,6,27,47.59,69,25,3797,46,41,17,2541,85.7,187,49.08,27,0.04645772978667369,0.022043718725309455,0.0571240452989202,0.013984724782723201,0.0,0.1422175401632868,0.4266526204898604,1.6355017118777981,0.592573084013695,0.4029496971293126,60.22912825915196,4.432446668422439,0.6399789307347906,0.005688701606531472,1.2563534378722847,-3.239260409638258,2
4,Jannik Vestergaard,Leicester City,Centre-Back,32,2.0,2025,1.45,0.0,0.13,0.55,0.87,8.06,9,2,17,65.75,119,18,2605,31,29,2,1489,86.72,85,44.5,5,0.05009596928982726,0.030057581573896354,0.27846449136276397,0.019001919385796547,0.0,0.0690978886756238,0.31094049904030713,4.111324376199616,0.6218809980806143,0.0690978886756238,51.44337811900192,2.9366602687140118,0.17274472168905952,0.004491362763915548,2.7018064135137685,-1.2460926278928648,2
5,Robert Atkinson,Oxford United,Centre-Back,25,2.0,2026,1.4,0.04,0.28,0.52,1.2,5.12,7,0,13,74.6,94,5,1851,25,23,3,760,82.34,24,30.38,12,0.06807131280388978,0.05834683954619125,0.24894651539708268,0.025283630470016208,0.0019448946515397084,0.0,0.34035656401944897,4.570502431118315,0.24311183144246354,0.14586709886547813,36.95299837925446,1.166936790923825,0.5834683954619125,0.013614262560777959,1.3607767086991063,1.3133443336128625,0
6,Dael Fry,Middlesbrough,Centre-Back,27,2.0,2026,0.72,0.0,0.28,1.03,0.72,6.0,3,1,33,67.72,107,11,2133,32,23,2,1170,88.24,44,43.14,7,0.030379746835443037,0.030379746835443037,0.25316455696202533,0.04345991561181435,0.0,0.04219409282700422,0.12658227848101267,4.514767932489452,0.4641350210970464,0.08438818565400844,49.36708860759494,1.8565400843881856,0.29535864978902954,0.011814345991561183,3.179247067098071,-0.6541821800936282,2
7,Caleb Taylor,West Bromwich Albion,Centre-Back,23,2.5,2027,1.07,0.04,0.32,1.07,1.82,6.14,13,1,30,72.13,132,16,2243,28,24,1,729,78.47,56,46.28,8,0.04293357111012038,0.07302719572001784,0.2463664734730272,0.04293357111012038,0.0016049933125278646,0.04012483281319661,0.521622826571556,5.296477931341953,0.6419973250111458,0.04012483281319661,29.251003120820332,2.2469906375390103,0.3209986625055729,0.012839946500222917,2.3548407401846796,1.531344631677657,0
8,Dara O'Shea,Burnley,Centre-Back,25,8.0,2028,0.54,0.04,0.37,1.0,0.85,6.35,11,5,46,70.08,171,19,4140,46,46,3,2593,83.86,231,47.14,15,0.01173913043478261,0.01847826086956522,0.13804347826086955,0.021739130434782608,0.0008695652173913044,0.10869565217391304,0.2391304347826087,3.717391304347826,0.41304347826086957,0.06521739130434782,56.369565217391305,5.021739130434782,0.32608695652173914,0.008043478260869565,3.6606734135279377,-2.822677606935184,2
9,Bobby Thomas,Burnley,Centre-Back,22,5.0,2028,1.09,0.0,0.27,0.88,0.79,5.67,16,2,29,62.77,118,25,2924,33,33,5,1447,81.02,92,33.7,29,0.0335499316005472,0.024316005471956226,0.17452120383036937,0.02708618331053352,0.0,0.061559507523939815,0.4924760601915185,3.632010943912449,0.7694938440492477,0.15389876880984954,44.538303693570455,2.831737346101231,0.8926128590971273,0.008310533515731876,0.8119789968404607,-1.0037639827662297,2
10,Jake Cooper,Millwall,Centre-Back,29,2.5,2026,0.94,0.0,0.4,0.74,0.85,7.4,20,2,35,73.61,279,54,4230,47,47,8,1660,74.74,193,42.6,26,0.02,0.018085106382978722,0.1574468085106383,0.01574468085106383,0.0,0.0425531914893617,0.425531914893617,5.9361702127659575,1.148936170212766,0.1702127659574468,35.319148936170215,4.1063829787234045,0.5531914893617021,0.00851063829787234,1.635768413705808,-1.2086321008634928,2
11,Jacob Greaves,Ipswich Town,Centre-Back,23,8.0,2027,1.29,0.0,0.33,0.71,0.96,6.17,8,2,17,66.1,117,23,2048,24,23,8,1074,85.24,36,31.58,16,0.056689453125,0.042187499999999996,0.271142578125,0.031201171874999996,0.0,0.087890625,0.3515625,5.1416015625,1.0107421875,0.3515625,47.197265625,1.58203125,0.703125,0.014501953125,1.4747156390210807,0.6443917571100577,2
